Receive time,Appliance,Source address,Destination address,Source Port,Destination port,Protocol,Application,Type,Rule,Egress interface,Ingress interface,From Zone,To Zone,Source country,Destination country,User,Packets Received,Packets Sent,Received Bytes,Transmitted Bytes,Session duration,Reverse Rate (Bps),Forward Rate (Bps)
2017-10-01T18:30:44Z,Branch01-OneEight,172.19.10.31,54.251.250.54,40521,443,tcp,https,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,Singapore,unknown,5,6,1789,497,136,13154.41,3654.41
2017-10-01T18:30:44Z,Branch01-OneEight,172.19.10.31,54.251.250.54,34987,443,tcp,https,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,Singapore,unknown,5,6,1789,497,158,11322.78,3145.57
2017-10-01T18:30:44Z,Branch01-OneEight,52.172.205.76,192.168.2.80,52560,161,udp,snmp,,R1,vni-0/2.0,vni-0/1.0,Intf-WAN1-Zone,Intf-LAN-Zone,United States,,unknown,1,1,190,178,3,63333.33,59333.33
2017-10-01T18:30:44Z,Branch01-OneEight,52.172.205.76,192.168.2.80,51438,161,udp,snmp,,R1,vni-0/2.0,vni-0/1.0,Intf-WAN1-Zone,Intf-LAN-Zone,United States,,unknown,1,1,213,178,4,53250,44500
2017-10-01T18:30:44Z,Branch01-OneEight,52.172.205.76,192.168.2.80,50842,161,udp,snmp,,R1,vni-0/2.0,vni-0/1.0,Intf-WAN1-Zone,Intf-LAN-Zone,United States,,unknown,1,1,154,140,1,154000,140000
2017-10-01T18:30:44Z,Branch01-OneEight,52.172.205.76,192.168.2.80,37820,161,udp,snmp,,R1,vni-0/2.0,vni-0/1.0,Intf-WAN1-Zone,Intf-LAN-Zone,United States,,unknown,1,1,211,178,4,52750,44500
2017-10-01T18:30:44Z,Branch01-OneEight,172.19.10.27,202.38.180.7,36542,53,udp,dns,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,India,unknown,1,2,245,337,2022,121.17,166.67
2017-10-01T18:30:44Z,Branch01-OneEight,172.19.10.27,8.8.8.8,36542,53,udp,dns,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,1,1,122,64,42,2904.76,1523.81
2017-10-01T18:30:44Z,Branch01-OneEight,172.19.10.18,8.8.8.8,36083,53,udp,dns,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,1,1,150,68,110,1363.64,618.18
2017-10-01T18:30:44Z,Branch01-OneEight,172.19.10.18,202.38.180.7,36083,53,udp,dns,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,India,unknown,0,1,0,68,0,0,0
2017-10-01T18:30:44Z,Branch01-OneEight,141.212.122.101,43.224.129.110,45837,1900,udp,ssdp,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,United States,Japan,unknown,0,1,0,125,0,0,0
